Id,Contract_Type,Gender,Marital_Status,Education_Level,Birth_Year,Age,Employment,Mobile_Number,Card_Number,Card_Expiry,Transaction_Device_Type,Card_Limit,Transaction_Amount,Transaction_Type,Transaction_Location,Card_Type,Card_Verification_Method,Monthly_Income,Annual_Income,EMI_Amount,Previous_Transaction_Count,Transaction_Hour,Is_Foreign_Transaction,Is_High_Transaction_Amount,Merchant_Risk_Score,Card_Usage_Location_Distance,Has_Recent_Card_Update,Transaction_Frequency_Weekday,Transaction_Frequency_Weekend,Fraud_Status
1,Fixed,Female,Married,Graduate,1970,52,Employed,1111111111,2222222222222222,2025,Desktop,300000,5000,Purchase,Mumbai,Visa,Online,80000,960000,10000,50,10,False,True,0.8,10,True,10,10,1
2,Variable,Male,Single,High School,1980,42,Unemployed,3333333333,4444444444444444,2026,Mobile,100000,2000,Withdrawal,Delhi,MasterCard,Offline,50000,600000,5000,10,15,True,False,0.7,20,False,20,15,0
3,Fixed,Male,Single,Post Graduate,1990,32,Self-Employed,5555555555,6666666666666666,2024,Tablet,400000,4000,Transfer,Bangalore,Visa,Online,100000,1200000,8000,100,5,True,True,0.6,30,False,5,5,1
4,Fixed,Female,Divorced,Doctorate,1975,47,Employed,7777777777,8888888888888888,2027,Desktop,200000,6000,Purchase,Kolkata,MasterCard,Offline,120000,1440000,2000,150,20,False,False,0.5,40,True,40,20,0
5,Variable,Other,Divorced,Post Graduate,1985,37,Unemployed,9999999999,0000000000000000,2028,Mobile,250000,3000,Withdrawal,Pune,Visa,Online,60000,720000,7000,200,1,True,True,0.4,50,True,5,25,1
6,Fixed,Female,Single,Graduate,1988,34,Employed,1234567890,1111111111111111,2023,Tablet,350000,7000,Transfer,Chennai,MasterCard,Offline,70000,840000,3000,80,8,False,False,0.3,60,False,20,30,0
7,Fixed,Male,Single,High School,1978,44,Self-Employed,2345678901,2222222222222222,2024,Mobile,150000,2500,Purchase,Hyderabad,Visa,Online,90000,1080000,6000,30,3,False,True,0.2,70,True,35,10,1
8,Variable,Female,Married,High School,1982,40,Employed,3456789012,3333333333333333,2029,Desktop,180000,4500,Withdrawal,Mumbai,MasterCard,Offline,150000,1800000,4000,60,18,False,False,0.1,80,False,10,15,0
9,Fixed,Other,Married,Graduate,1972,50,Unemployed,4567890123,4444444444444444,2025,Tablet,170000,5500,Transfer,Delhi,Visa,Online,110000,1320000,9000,40,6,True,True,0.9,90,False,15,20,1
10,Variable,Male,Divorced,Graduate,1965,57,Employed,5678901234,5555555555555555,2026,Mobile,220000,3500,Withdrawal,Bangalore,MasterCard,Offline,130000,1560000,3000,10,12,True,False,0.8,100,True,25,5,0
